treeID,Z,TreeSpecies,coords.x1,coords.x2,DBH,Biomass
221,21.49,1,295074.625,6808792.625,35.32827473,624.815739
222,2.77,1,294325.625,6808792.375,3.84965145,3.958297908
223,20.03,3,294592.375,6808792.375,464.7239519,3985.672945
224,23.38,2,294670.375,6808792.375,92.67226612,2408.326666
225,11.23,2,294834.875,6808792.375,17.11915558,84.67263789
226,9.48,2,294910.375,6808792.375,13.88709194,48.76005942
227,20.44,2,294993.875,6808792.375,54.3408209,1107.528438
228,8.15,2,295152.875,6808792.375,11.730653,31.12613003
229,18,1,295166.875,6808792.375,25.54772152,295.5093862
230,15.16,2,294678.875,6808792.125,27.03371025,265.1580352
231,18.32,2,294785.625,6808792.125,40.10799113,628.921923
232,19.82,2,294799.125,6808792.125,49.48421598,939.2888599
233,18.03,2,294810.625,6808792.125,38.59465554,581.6958955
234,15.51,2,295026.625,6808792.125,28.18310326,292.275334
235,22.4,1,295060.125,6808792.125,38.63206393,758.3138288
236,19.37,2,295112.125,6808792.125,46.35937083,833.137642
237,19.82,2,295119.625,6808792.125,49.48421598,939.2888599
238,22.26,1,295130.125,6808792.125,38.09741833,736.070421
239,2.83,1,293786.375,6808791.875,3.929279304,4.094729699
240,19.62,2,294658.625,6808791.875,48.05762211,890.5699199
241,15.04,2,294714.625,6808791.875,26.65257499,256.4207357
242,18.17,2,294721.125,6808791.875,39.31503218,604.0489974
243,3.98,2,294956.625,6808791.875,5.885961506,5.410176853
244,7.62,3,294964.125,6808791.875,9.822974351,20.59762312
245,20.24,2,295116.375,6808791.875,52.69715127,1050.257176
246,8.14,3,293878.375,6808791.625,10.7215305,26.035261
247,18.26,2,294725.875,6808791.625,39.78812659,618.8558558
248,8.61,2,294750.625,6808791.625,12.45221615,36.48179915
249,17.93,3,294778.875,6808791.625,87.83294667,1618.529117
250,16.21,2,295019.375,6808791.625,30.66675429,354.5912087
251,15.43,2,294712.125,6808791.375,27.91527873,285.8553235
252,17.91,2,294813.875,6808791.375,37.99176165,563.1751211
253,6.6,2,294869.875,6808791.375,9.449668021,17.59198541
254,20.44,2,295187.125,6808791.375,54.3408209,1107.528438
255,6.64,3,293875.125,6808791.125,8.28148667,13.06713282
256,2.23,3,294219.625,6808791.125,2.531139664,0.904076814
257,4.09,3,294252.375,6808791.125,4.888267144,3.45060659
258,6.07,2,294885.125,6808791.125,8.710962345,14.24073465
259,20.09,2,294942.875,6808791.125,51.51405648,1009.223013
260,17.72,2,295006.125,6808791.125,37.06355008,535.0108982
261,16.36,2,295182.125,6808791.125,31.23422134,369.4982059
262,4.75,2,293731.375,6808790.875,6.922720704,7.978357709
263,7.92,3,294053.875,6808790.875,10.33370729,23.59071505
264,17.2,1,294606.625,6808790.875,23.77619472,248.2989837
265,16.38,2,294709.125,6808790.875,31.31089146,371.5304081
266,15.34,2,294806.375,6808790.875,27.61764293,278.7923257
267,17,2,295023.125,6808790.875,33.81336601,440.104577
268,22.56,1,295045.125,6808790.875,39.25572778,784.554192
269,24.54,1,295066.875,6808790.875,48.30065711,1195.053234
270,8.16,3,293673.875,6808790.625,10.75737293,26.26874975
271,3.65,3,293824.875,6808790.625,4.349077946,2.636442703
272,3.89,3,294083.375,6808790.625,4.642833288,3.060173571
273,5.43,3,294256.375,6808790.625,6.588616031,7.196196511
274,20.51,2,294654.375,6808790.625,54.93490388,1128.290129
275,22.75,1,295085.875,6808790.625,40.01446201,816.8905715
276,20.63,2,295096.875,6808790.625,55.9771115,1164.776221
277,23.59,2,295126.375,6808790.625,97.09523316,2545.393745
278,2.05,2,293776.875,6808790.375,2.971350112,1.395904172
279,2.77,2,293802.625,6808790.375,4.171206894,2.56327235
280,6.85,2,294263.875,6808790.375,9.804302344,19.37275797
281,13.51,2,294702.875,6808790.375,22.29397834,166.2215547
282,22.03,2,294738.375,6808790.375,70.8878214,1686.845138
283,9.4,2,294906.625,6808790.375,13.75095956,47.50030129
284,2.55,2,294208.375,6808790.125,3.829726669,2.171375044
285,18.58,2,294662.375,6808790.125,41.53706639,674.4080231
286,7.15,2,294693.125,6808790.125,10.23589517,21.69588507
287,12.45,2,294835.625,6808790.125,19.72476664,122.0888356
288,5.89,2,294862.625,6808790.125,8.463561302,13.22286413
289,10.77,2,294950.125,6808790.125,16.21808597,73.49243818
290,20.63,2,294991.875,6808790.125,55.9771115,1164.776221
291,20.21,2,295013.625,6808790.125,52.45721999,1041.921374
292,21.13,2,295118.375,6808790.125,60.67259642,1329.730921
293,6.79,3,293882.375,6808789.875,8.506134285,14.0286935
294,19.77,2,295036.375,6808789.875,49.12164602,926.8698865
295,20.98,1,295073.625,6808789.875,33.63926554,560.460872
296,18.75,1,295080.875,6808789.875,27.34285181,347.5303733
297,17.17,3,294600.625,6808789.625,66.14275328,1173.773142
298,18.7,2,294623.875,6808789.625,42.2212505,696.4644176
299,16.61,3,294675.625,6808789.625,55.47574376,927.5437454
300,17.15,2,294719.625,6808789.625,34.45793453,458.4328286
301,21.22,2,295107.375,6808789.625,61.58401024,1361.779652
302,17.32,3,294680.625,6808789.375,69.62198738,1250.403198
303,17.77,2,295011.125,6808789.375,37.3047576,542.2877135
304,20.55,2,295139.625,6808789.375,55.27892364,1140.325387
305,2.76,2,294079.375,6808789.125,4.15600453,2.544723284
306,2.57,2,294241.875,6808789.125,3.861438497,2.20563165
307,4.09,2,294269.125,6808789.125,6.03505554,5.736485485
308,17.99,2,294665.875,6808789.125,38.39222173,575.4577809
309,20.24,2,294729.375,6808789.125,52.69715127,1050.257176
310,18.48,2,294815.875,6808789.125,40.97897412,656.5475442
311,18.26,2,294988.375,6808789.125,39.78812659,618.8558558
312,21.52,2,295000.125,6808789.125,64.78616119,1474.222332
313,26.11,1,295056.875,6808789.125,57.83464191,1669.443562
314,6.9,1,293600.875,6808788.875,8.560522473,19.85770718
315,2.63,1,293960.375,6808788.875,3.659718181,3.64723591
316,3.83,1,294230.125,6808788.875,5.155347208,6.682996476
317,4.44,1,294286.125,6808788.875,5.850126947,8.599113794
318,22.18,1,294940.375,6808788.875,37.7964188,723.6522028
319,20.02,2,295016.375,6808788.875,50.97580304,990.6163769
320,16.88,2,295021.625,6808788.875,33.30915938,425.950504
321,2.36,2,293788.375,6808788.625,3.52022369,1.858929288
322,6.32,2,294031.875,6808788.625,9.057357548,15.75307065
323,9.16,3,294037.625,6808788.625,12.68938225,40.78433822
324,5.1,3,294062.375,6808788.625,6.157027389,6.059131711
325,18.07,2,294711.625,6808788.625,38.79858086,587.9994322
326,9.49,2,294866.875,6808788.625,13.90417186,48.91953626
327,10.36,2,294893.375,6808788.625,15.44768388,64.65235846
328,21.32,2,295092.625,6808788.625,62.62261605,1398.284897
329,21.2,2,295098.625,6808788.625,61.37959438,1354.59242
330,22.06,1,295169.125,6808788.625,37.35092817,705.4138348
331,6.2,1,293871.625,6808788.375,7.788353773,15.97634315
332,21.14,2,295123.875,6808788.375,60.77279921,1333.254778
333,15.73,3,294603.625,6808788.125,43.6817717,641.8711142
334,22.63,2,294642.125,6808788.125,79.37480292,1976.222056
335,13.01,2,294686.875,6808788.125,21.04238394,143.8437881
336,19.07,2,294796.625,6808788.125,44.4363534,768.9821439
